Source,Filter,Obs_number,Detected Name,Date obs,RA,DEC,Error_circle (arcsec),Position_source,nH,Mag_raw,Mag_err,Upper_limit,zp_offset,SExtractor_Flag,Astrometric_err,An_extinction,An_extinction_err,Mag_corr,Mag_err_corr,Flux (erg/s/cm2),Flux_err,F_NIR_upplim,Distance (kpc),D_errup,D_errlow,Distance_source,L_NIR,L_NIR_errup,L_NIR_errlow,L_NIR_upplim,Xray_Flux (erg/s/cm2),Xray_errup,Xray_errlow,Xray_upplim,Xray_Flux_source,L_X,L_X_errup,L_X_errlow,L_X_upplim,Comments
4U_1822-00,H,1175,S,2018-06-19,18 25 22.020,-00 00 43.00,0.6,"Juett&Chakrabarty 2005, Chandra",3.36E+21,18.651814,0.03230782,,-0.0474167842,0,0.0948781153,0.3284916201,0.005505446147,18.37073857,0.03302792282,5.25E-14,1.56E-15,,6.3,2,2,Shahbaz+2007,,,,,,,,,Asai+2022,1.80E+36,,,,
4U_1822-00,J,1180,S,2018-06-19,18 25 22.020,-00 00 43.00,0.6,"Juett&Chakrabarty 2005, Chandra",3.36E+21,19.410662,0.037624422,,-0.03046061547,0,0.1085585528,0.5293407821,0.00887163322,18.91178127,0.03875201065,4.35E-14,1.51E-15,,6.3,2,2,Shahbaz+2007,,,,,,,,,Asai+2022,1.80E+36,,,,
XTE_J1719-291,Ks,0704,,2013-06-18,17 19 17.18,-29 04 10.0,0.2,"Greiner+2008, Chandra",3.01E+21,,,18.50807784,-0.09501998114,,0.3464991893,0.1883351955,0.003156455791,,,,,,8,,,,,,,,,,,1.10E-13,Padilla+2011,,,,,"Distortion does not look amazing, see finding chart, but we do have the other Ks observation which looks good. & astrometric offset"
XTE_J1719-291,H,0714,,2013-06-18,17 19 17.18,-29 04 10.0,0.2,"Greiner+2008, Chandra",3.01E+21,,,18.76324426,-0.06050480177,,0.3220576645,0.294273743,0.004931962173,,,,,,8,,,,,,,,,,,1.10E-13,Padilla+2011,,,,,Astrometric offset
2S_0918-549,J,3126,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.1,"Gaia Collaboration 2020, Gaia",5.29E+21,15.759552,0.018297242,,-0.02316887179,1,0.4282440115,0.833396648,0.01396754159,14.94932392,0.02325132205,1.67E-12,2.82E-14,,5.4,,,in 't Zand+2005,,,,,3.64E-10,2.30E-12,2.30E-12,,Build swift XRT products,,,,,
2S_0918-549,J,3128,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.3,"Gaia Collaboration 2020, Gaia",5.29E+21,15.539142,0.006594987,,-0.04630006395,0,0.2530668323,0.833396648,0.01396754159,14.75204494,0.01565214278,2.01E-12,1.22E-14,,5.4,,,in 't Zand+2005,,,,,3.64E-10,2.30E-12,2.30E-12,,Build swift XRT products,,,,,Astronomy not great so used error circle of 0.3 instead of 0.1 to include source
2S_0918-549,H,3133,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.3,"Gaia Collaboration 2020, Gaia",5.29E+21,15.088455,0.008751974,,-0.04129475527,0,0.2353456654,0.5171787709,0.00866780063,14.61257148,0.01271443066,1.67E-12,1.35E-14,,5.4,,,in 't Zand+2005,,,,,3.64E-10,2.30E-12,2.30E-12,,Build swift XRT products,,,,,Astronomy not great so used error circle of 0.3 instead of 0.1 to include source
2S_0918-549,Ks,3138,S,2018-11-13,09 20 26.4818170056,-55 12 24.512806404,0.1,"Gaia Collaboration 2020, Gaia",5.29E+21,15.0787,0.010139113,,-0.02830918406,2,0.2816641399,0.3309944134,0.005547392403,14.77601452,0.01227089855,9.31E-13,8.70E-15,,5.4,,,in 't Zand+2005,,,,,3.64E-10,2.30E-12,2.30E-12,,Build swift XRT products,,,,,
EXO_0748-676,J,2836,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97E+20,20.905659,0.09417507,,-0.01983599945,0,0.2705484687,0.1413150838,0.002368409226,20.78418006,0.0944081974,7.75E-15,6.73E-16,,7.4,0.9,0.9,Galloway+2008,,,,,5.00E-13,1.50E-13,1.50E-13,,Thesis Bilal 2018,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources
EXO_0748-676,H,2827,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97E+20,20.021292,0.100277275,,0.01104126314,0,0.3053883816,0.08769553073,0.001469757498,19.92255456,0.1009094598,1.26E-14,1.16E-15,,7.4,0.9,0.9,Galloway+2008,,,,,5.00E-13,1.50E-13,1.50E-13,,Thesis Bilal 2018,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources
EXO_0748-676,Ks,2818,S,2014-05-08,07 48 33.70944,-67 45 07.722,0.3,"Monet+2003, PMM",8.97E+20,19.911205,0.15914378,,0.01776262676,0,0.3163508295,0.05612513966,0.0009406447989,19.83731701,0.1600279965,8.80E-15,1.29E-15,,7.4,0.9,0.9,Galloway+2008,,,,,5.00E-13,1.50E-13,1.50E-13,,Thesis Bilal 2018,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources & used error circle of 0.3 instead of 0.1 to include source
EXO_0748-676,J,3080,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97E+20,,,21.732403,-0.02857053304,,0.1736509813,0.1413150838,0.002368409226,,,,,,7.4,0.9,0.9,Galloway+2008,,,,,5.00E-13,1.50E-13,1.50E-13,,Thesis Bilal 2018,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources
EXO_0748-676,H,3090,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97E+20,,,20.82067544,-0.02439547922,,0.233676069,0.08769553073,0.001469757498,,,,,,7.4,0.9,0.9,Galloway+2008,,,,,5.00E-13,1.50E-13,1.50E-13,,Thesis Bilal 2018,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources
EXO_0748-676,Ks,3095,,2018-11-13,07 48 33.70944,-67 45 07.722,0.2,"Monet+2003, PMM",8.97E+20,,,20.4732919,-0.01198651696,,0.1964168965,0.05612513966,0.0009406447989,,,,,,7.4,0.9,0.9,Galloway+2008,,,,,5.00E-13,1.50E-13,1.50E-13,,Thesis Bilal 2018,,,,,Did astronomy with GDR3 sources within 5' instead of 1' because very empty field so otherwise astrometry determined by only ~5 GDR sources
XSS_J12270-4859,J,2845,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07E+21,17.166628,0.012503633,,0.02348801294,3,0.3376464014,0.1685698324,0.002825192722,16.97457096,0.01671835432,2.59E-13,2.98E-15,,1.37,0.69,0.15,de Martino+2020,,,,,3.00E-13,2.00E-13,2.00E-13,,Thesis Bilal 2018,,,,,
XSS_J12270-4859,H,2854,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.1,"Gaia Collaboration 2020, Gaia",1.07E+21,16.570377,0.012664714,,-0.03862531407,2,0.1416770626,0.1046089385,0.001753222434,16.50439413,0.01604450499,2.93E-13,3.42E-15,,1.37,0.69,0.15,de Martino+2020,,,,,3.00E-13,2.00E-13,2.00E-13,,Thesis Bilal 2018,,,,,
XSS_J12270-4859,Ks,2864,S,2014-05-08,12 27 58.7476831466,-48 53 42.824592947,0.2,"Gaia Collaboration 2020, Gaia",1.07E+21,16.448586,0.01703421,,-0.06096642009,2,0.1927944551,0.06694972067,0.001122062358,16.44260228,0.01938678483,2.01E-13,3.15E-15,,1.37,0.69,0.15,de Martino+2020,,,,,3.00E-13,2.00E-13,2.00E-13,,Thesis Bilal 2018,,,,,
IGR_J1706.2-6143,J,2982,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.79739733,0.05942994518,,0.0005247648385,,0.2752227556,0.1606927374,0.00269317437,19.63617983,0.05966605269,2.23E-14,1.23E-15,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF & Astrometric offset
IGR_J1706.2-6143,J,3000,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.81607156,0.02375544399,,-0.02306787337,,0.2533317281,0.1606927374,0.00269317437,19.67844669,0.02425994923,2.15E-14,4.80E-16,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF & Small astrometric offset 
IGR_J1706.2-6143,H,3018,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.70588507,0.08975067677,,-0.01343227184,,0.1432983856,0.09972067039,0.001671296152,19.61959668,0.08987146088,1.66E-14,1.38E-15,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF 
IGR_J1706.2-6143,H,3009,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.69745697,0.04875133974,,0.01140303454,,0.2524843774,0.09972067039,0.001671296152,19.58633326,0.04918589662,1.72E-14,7.77E-16,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF & Small astrometric offset
IGR_J1706.2-6143,Ks,3027,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.44067741,0.1540519926,,-0.05480315726,,0.1322897107,0.06382122905,0.001069629537,19.43165934,0.1542437578,1.28E-14,1.82E-15,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF
IGR_J1706.2-6143,Ks,3036,S,2014-05-08,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.43169594,0.07463862438,,-0.06603949498,,0.07162096118,0.06382122905,0.001069629537,19.43391421,0.07509997864,1.28E-14,8.83E-16,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF & Astrometric offset
IGR_J1706.2-6143,H,0176,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,20.06793144,0.1880952643,,-0.03998041997,,0.2077787938,0.09972067039,0.001671296152,20.00819119,0.1882363559,1.16E-14,2.02E-15,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF & Astrometric offset
IGR_J1706.2-6143,H,0181,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.67816032,0.08105768865,,-0.05072114332,,0.06597378816,0.09972067039,0.001671296152,19.62916079,0.08120376868,1.65E-14,1.23E-15,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF
IGR_J1706.2-6143,J,0191,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.75709336,0.07472362949,,-0.1602068885,,0.06148076333,0.1606927374,0.00269317437,19.75660752,0.07484319231,2.00E-14,1.38E-15,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF
IGR_J1706.2-6143,Ks,0196,S,2013-06-17,17 06 16.3,-61 42 40.5,0.3,"Ricci+2008, UVOT",1.02E+21,19.0123327,0.09255208815,,-0.1564262652,,0.06133340057,0.06382122905,0.001069629537,19.10493774,0.09281349825,1.65E-14,1.89E-15,,7.3,0.5,0.5,Keek+2017,,,,,2.35E-10,1.10E-12,1.10E-12,,Build swift XRT products,,,,,Applied PSF
IGR_J17494-3030,Ks,3162,,2014-05-08,17 49 23.61,-30 29 59.1,0.15,"van den Eijnden+2020, VLA",6.72E+21,,,16.4147358,-0.3518856457,,0.2890244676,0.4204692737,0.007046971068,,,,,,8,,,,,,,,,,,4.59E-14,Chakrabarty+2013,,,,,Used low_lim = 12 for magnitude calibration because otherwise only 3 sources used. We do detect a source in the Chandra error circle but not in VLA but this is unlikely to be our source because too bright
MAXI_J1305-704,Ks,0458,S,2013-06-17,13 06 55.300,-70 27 05.11,0.07,"Coriat+2012, ACTA",2.08E+21,17.515215,0.10421792,,0.01667932358,0,0.04346682233,0.1301452514,0.002181205331,17.3683899,0.10440262,8.55E-14,8.21E-15,,7.5,1.8,1.4,Mata Sánchez+2021,,,,,,,,1.24E-11,Build swift XRT products,,,,,
MAXI_J1305-704,H,0468,S,2013-06-17,13 06 55.300,-70 27 05.11,0.14,"Coriat+2012, ACTA",2.08E+21,17.372196,0.17712756,,-0.02002261353,0,0.06764173314,0.2033519553,0.003408133329,17.18886759,0.1771955248,1.56E-13,2.55E-14,,7.5,1.8,1.4,Mata Sánchez+2021,,,,,,,,1.24E-11,Build swift XRT products,,,,,Used extra error circle of 0.14 instead of 0.07 to include source
MAXI_J1305-704,H,0473,S,2013-06-17,13 06 55.300,-70 27 05.11,0.14,"Coriat+2012, ACTA",2.08E+21,17.638039,0.04395017,,-0.01762016272,3,0.07031286759,0.2033519553,0.003408133329,17.45230677,0.04425100037,1.22E-13,4.96E-15,,7.5,1.8,1.4,Mata Sánchez+2021,,,,,,,,1.24E-11,Build swift XRT products,,,,,Increased error circle to 0.14 instead of 0.07 to include source
MAXI_J1305-704,J,0478,S,2013-06-17,13 06 55.300,-70 27 05.11,0.07,"Coriat+2012, ACTA",2.08E+21,18.082226,0.085612305,,-0.04301413889,0,0.06196603007,0.3276871508,0.005491963422,17.79755318,0.08585191833,1.21E-13,9.57E-15,,7.5,1.8,1.4,Mata Sánchez+2021,,,,,,,,1.24E-11,Build swift XRT products,,,,,
MAXI_J1305-704,J,0483,S,2013-06-17,13 06 55.300,-70 27 05.11,0.14,"Coriat+2012, ACTA",2.08E+21,18.26209,0.018808752,,-0.0433019183,3,0.06417418547,0.3276871508,0.005491963422,17.97770607,0.01999193422,1.03E-13,1.78E-15,,7.5,1.8,1.4,Mata Sánchez+2021,,,,,,,,1.24E-11,Build swift XRT products,,,,,Increased error circle to 0.14 instead of 0.07 to include source
IGR_J17091-3624,H,3730,S,2014-05-10,17 09 7.61,-36 24 25.7,0.6,"Bodaghee+2012, Chandra",5.81E+21,16.471195,0.016173203,,-0.1219688861,3,0.1262354633,0.5680167598,0.009519833963,16.02514768,0.01900264688,4.56E-13,6.79E-15,,14,3,3,Rodriguez+2011,,,,,1.36E-13,3.40E-14,3.90E-14,,Wijnands+2012,,,,,"There is also a radio position (17 09 7.61 -36 24 25.7, error=0.1"") but it does not [erfect;u overlap with centroid: Rodriguez+2011, ACTA"
IGR_J17091-3624,Ks,3739,S,2014-05-10,17 09 7.61,-36 24 25.7,0.6,"Bodaghee+2012, Chandra",5.81E+21,16.194166,0.019851277,,-0.0651388826,3,0.1492285362,0.3635307263,0.006092693736,15.89577523,0.02101378723,3.32E-13,6.07E-15,,14,3,3,Rodriguez+2011,,,,,1.36E-13,3.40E-14,3.90E-14,,Wijnands+2012,,,,,"There is also a radio position (17 09 7.61 -36 24 25.7, error=0.1"") but it does not [erfect;u overlap with centroid: Rodriguez+2011, ACTA"
MXB_1659-28,H,0684,S,2013-06-18,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74E+21,19.824308,0.10696019,,-0.02082293031,1,0.1342853361,0.1701117318,0.002851034612,19.67501919,0.1070415159,1.58E-14,1.56E-15,,12,3,3,Galloway+2008,,,,,1.10E-14,4.00E-15,4.00E-15,,Parikh+2019,,,,,
MXB_1659-28,Ks ,0694,S,2013-06-18,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74E+21,19.395103,0.12524414,,-0.05045160709,1,0.1284012338,0.1088715084,0.001824662152,19.33668322,0.1253150507,1.40E-14,1.61E-15,,12,3,3,Galloway+2008,,,,,1.10E-14,4.00E-15,4.00E-15,,Parikh+2019,,,,,
MXB_1659-28,Ks,3712,S,2014-05-10,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74E+21,19.38443,0.19684346,,-0.05265434535,0,0.1311253509,0.1088715084,0.001824662152,19.32821269,0.1968896328,1.41E-14,2.55E-15,,12,3,3,Galloway+2008,,,,,1.10E-14,4.00E-15,4.00E-15,,Parikh+2019,,,,,
MXB_1659-28,H,3721,S,2014-05-10,17 02 06.54 ,-29 56 44.1,0.3,"Wijnands+2003, Chandra",1.74E+21,19.552694,0.09876649,,-0.0377332143,1,0.1108476003,0.1701117318,0.002851034612,19.42031567,0.09885889706,2.00E-14,1.82E-15,,12,3,3,Galloway+2008,,,,,1.10E-14,4.00E-15,4.00E-15,,Parikh+2019,,,,,
Swift_J1910.2-0546,Ks,0819,S,2013-06-18,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24E+21,14.774146,0.011517805,,-0.03722545917,0,0.09362722852,0.1401564246,0.002348990356,14.67121538,0.01269178524,1.03E-12,1.09E-14,,6.9,,,Reis+2013,,,,,2.50E-12,7.00E-13,4.00E-13,,Build swift XRT products,,,,,"These two Ks observations from 2013 are much brighter than H and J observations from 2014, are both in quiscence "
Swift_J1910.2-0546,Ks,0824,S,2013-06-18,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24E+21,14.735732,0.006016995,,-0.05480362141,2,0.3752884533,0.1401564246,0.002348990356,14.6503795,0.008387558346,1.05E-12,5.80E-15,,6.9,,,Reis+2013,,,,,2.50E-12,7.00E-13,4.00E-13,,Build swift XRT products,,,,,Small astrometric offset
Swift_J1910.2-0546,H,3442,S2,2014-05-09,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24E+21,17.67534,0.018099366,,-0.03474697724,3,0.232920893,0.2189944134,0.003670297431,17.49109241,0.01915281207,1.18E-13,1.97E-15,,6.9,,,Reis+2013,,,,,1.17E-14,1.25E-14,2.00E-16,,Thesis Maria ,,,,,"Also another source within error circle (see our finder chart), but can identify correct source with this finder chart & small astrometric offset"
Swift_J1910.2-0546,H,3451,S2,2014-05-09,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24E+21,17.60729,0.03690191,,-0.04268048823,3,0.2825139143,0.2189944134,0.003670297431,17.43097659,0.03733704906,1.25E-13,4.24E-15,,6.9,,,Reis+2013,,,,,1.17E-14,1.25E-14,2.00E-16,,Thesis Maria ,,,,,"Also another source within error circle (see our finder chart), but can identify correct source with this finder chart & small astrometric offset"
Swift_J1910.2-0546,J,3460,S2,2014-05-09,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24E+21,18.389482,0.036114354,,-0.05149970702,3,0.3781391836,0.3528938547,0.005914422147,18.08808896,0.0367056989,9.29E-14,3.09E-15,,6.9,,,Reis+2013,,,,,1.17E-14,1.25E-14,2.00E-16,,Thesis Maria ,,,,,"Also another source within error circle (see our finder chart), but can identify correct source with this finder chart & small astrometric offset"
Swift_J1910.2-0546,J,3469,S2,2014-05-09,19 10 22.79,-05 47 56.4,1.3,"Rau+2012, GROND",2.24E+21,18.274178,0.02028138,,-0.03604067658,3,0.1562604396,0.3528938547,0.005914422147,17.95732496,0.02125108188,1.05E-13,1.96E-15,,6.9,,,Reis+2013,,,,,1.17E-14,1.25E-14,2.00E-16,,Thesis Maria ,,,,,"Also another source within error circle (see our finder chart), but can identify correct source with this finder chart "
GX_339-4,H,0156,S,2013-06-17,17 02 49.3876391282,-48 47 23.087954552,0.1,"Gaia Collaboration 2020, Gaia",3.89E+21,16.210688,0.013939727,,-0.1221293397,3,0.1305987725,0.3803072626,0.006373864736,15.95250982,0.01573380673,4.87E-13,6.26E-15,,10,2,2,Zdziarski+2019,,,,,5.50E-13,2.83E-14,2.50E-14,,Plotkin+2013,,,,,
GX_339-4,H,0161,S,2013-06-17,17 02 49.3876391282,-48 47 23.087954552,0.1,"Gaia Collaboration 2020, Gaia",3.89E+21,16.543966,0.031216985,,-0.03029586415,3,0.08350298417,0.3803072626,0.006373864736,16.19395536,0.03194305806,3.90E-13,1.12E-14,,10,2,2,Zdziarski+2019,,,,,5.50E-13,2.83E-14,2.50E-14,,Plotkin+2013,,,,,
GX_339-4,H,0524,S,2013-06-18,17 02 49.3876391282,-48 47 23.087954552,0.1,"Gaia Collaboration 2020, Gaia",3.89E+21,16.086811,0.0093679335,,-0.05839127319,3,0.1170770385,0.3803072626,0.006373864736,15.76489537,0.0119465952,5.79E-13,5.00E-15,,10,2,2,Zdziarski+2019,,,,,5.50E-13,2.83E-14,2.50E-14,,Plotkin+2013,,,,,
GX_339-4,H,0529,S,2013-06-18,17 02 49.3876391282,-48 47 23.087954552,0.1,"Gaia Collaboration 2020, Gaia",3.89E+21,16.297775,0.010303602,,-0.0256975988,3,0.1978951916,0.3803072626,0.006373864736,15.94316571,0.01271873204,4.92E-13,4.66E-15,,10,2,2,Zdziarski+2019,,,,,5.50E-13,2.83E-14,2.50E-14,,Plotkin+2013,,,,,
RXS_J170854.4-321857,Ks,0649,S,2013-06-18,17 08 54.269,-32 19 57.13,0.6,"Zand+2005, Chandra",2.50E+21,18.293423,0.13936953,,-0.06203002205,0,0.1169019847,0.156424581,0.002621641022,18.19902891,0.1394259522,3.98E-14,5.11E-15,,13,2,2,Zand+2005,,,,,9.00E-12,1.80E-12,1.80E-12,,Thesis Bilal 2018,,,,,
RXS_J170854.4-321857,H,0659,S,2013-06-18,17 08 54.269,-32 19 57.13,0.6,"Zand+2005, Chandra",2.50E+21,18.287573,0.07103984,,-0.06100851219,1,0.1411616672,0.2444134078,0.004096314098,18.10416791,0.07120255606,6.72E-14,4.39E-15,,13,2,2,Zand+2005,,,,,9.00E-12,1.80E-12,1.80E-12,,Thesis Bilal 2018,,,,,
RXS_J170854.4-321857,H,0664,S,2013-06-18,17 08 54.269,-32 19 57.13,0.6,"Zand+2005, Chandra",2.50E+21,18.188883,0.06768093,,-0.01989610356,1,0.1974702584,0.2444134078,0.004096314098,17.96436497,0.0679119633,7.64E-14,4.76E-15,,13,2,2,Zand+2005,,,,,9.00E-12,1.80E-12,1.80E-12,,Thesis Bilal 2018,,,,,
RXS_J170854.4-321857,J,0674,S,2013-06-18,17 08 54.269,-32 19 57.13,0.6,"Zand+2005, Chandra",2.50E+21,18.665852,0.06609705,,-0.09239172772,3,0.2068092848,0.3938547486,0.006600917574,18.36438881,0.06647560235,7.20E-14,4.38E-15,,13,2,2,Zand+2005,,,,,9.00E-12,1.80E-12,1.80E-12,,Thesis Bilal 2018,,,,,
